
ID;Name
a2a5533-1;Поречье
a2a5530-1;Прилуки
a2a5541-1;Речица
a2a2656-1;Рижский аеропорт
a3a2656-1;Rygos oro uostas
a4a2656-1;Rīgas lidosta
a5a2656-1;Ryga (oro uostas)
a2a2655-1;Riia
a3a2655-1;Рига
a4a2655-1;Rīga
a2a2657-1;Riiga sadama
a3a2657-1;Рижский морской порт
a4a2657-1;Rīgas pasažieru termināls
a2a5512-1;Рымдзюны
a2a5535-1;Радунь
a2a5547-1;Ровное Поле
a2a6006-1;Sankt Peterburg
a3a6006-1;Санкт-Петербург
a2a1641-1;Szawle
a3a1641-1;Шяуляй
a4a1641-1;Шауляй
a2a5517-1;Сидоришки
a2a5549-1;Ширки
a2a5511-1;Слобода
a2a5508-1;Слободка
a2a5562-1;Слоним
a2a5518-1;Страча
a2a5556-1;Швакшты
a2a5542-1;Светлогорск
a2a5532-1;Свитязь
a2a5520-1;Свирь
a2a2615-1;Talina
a3a2615-1;Таллин
a2a5567-1;Телеханы
a2a5548-1;Толминово
a2a5531-1;Валевка
a2a5570-1;Валище
a2a5552-1;Вареньки
a2a2684-1;Warsaw Central
a2a2687-1;Warsaw Zachodnia
a3a2687-1;Варшава
a2a4991-1;Вентспилс
a2a2517-1;Vienna
a3a2517-1;Wieden
a4a2517-1;Вена
a2a3914-1;Würzburg
a3a3914-1;Вюрцбург
a2a5510-1;Ворняны
a2a5509-1;Varona
a3a5509-1;Ворона
a4a5509-1;Варона
a2a2686-1;Варшава аэропорт
a3a2686-1;Varšuvos oro uostas
a2a2412-1;Wilna
a3a2412-1;Вильнюс
a2a5536-1;Заболоть
a2a2513-1;Зальцбург
a2a5525-1;Жирмуны
a2a5563-1;Жировичи
a2a5516-1;Жукойни
a2a2663-1;Augustavas
a2a2509-1;Klagenfurtas
a2a1474-1;Klajpeda
a2a2547-1;Lyda
a2a4113-1;Маладзечна
a3a4113-1;Maladzyechna
a2a3921-1;Olštynas
a2a4112-1;Smurgainys
a2a2681-1;Suvalkai (Lenkija)
a2a2567-1;Ščiučinas
2504-1;Arnoldstein PKP
2505-1;Brenner PKP
2506-1;Drasenhofen PKP
2507-1;Graz, Hbf. ZOB
2508-1;Innsbruck, Eisstadion
2509-1;Klagenfurt, Busbahnhof
2510-1;Linz
2512-1;Nickelsdorf (A),  PKP
2513-1;Salzburg, Lastenstr.12
2514-1;Sankt  Polten
2515-1;Thorl PKP
2516-1;Walserberg PKP
2517-1;Wien, Südtirolerplatz, stop B4
2517-2;Wien, U3 Erdberg Station
2582-1;Antwerpen, Van Stralenstraat
2583-1;Brussel, Nord station
2584-1;Gent
2585-1;Liege, rue Varin 33-43, Eurolines stop
2586-1;Kalotina PKP (BG)
2587-1;Sofia, Bus station Trafic Market
2518-1;Ašmena
2519-1;Astravas
2520-1;Baranovičiai
4110-1;Bastūnai
5524-1;Benekainių muitinė
4111-1;Benekainys (Benekony)
5577-1;Beniakoni PKP
2522-1;Berezovka
5557-1;Bielica AS
5564-1;Bytenas
5544-1;Bobruiskas AS
2523-1;Borisov
2559-1;Braslav
2524-1;Brest
5559-1;Diatlovas AS
5550-1;Dvorčianai
5551-1;Falevičiai
5573-1;Filipanai
2525-1;Filipovičiai
5514-1;Gaza
2526-1;Gervėčiai
5558-1;Gezgalai
2527-1;Girios
